obligation_id|standard_id|standard_code|qualification_phase|domain|title|description|cohort|equipment_types|clause|verification_expectation|acceptance_criteria|rationale|status|introduced_in_version|deprecated_in_version|superseded_by
OBL_QMSR_INSTALL_0004|STD_QMSR|21 CFR 820|IQ|INSTALLATION_ENVIRONMENT|Installation environment is suitable|The equipment is installed in an environment suitable for intended operation.|Facilities & Utilities|Cleanroom HVAC;HEPA Filter;EMS;DP Monitor;Compressed Air System;Nitrogen Generator;Vacuum System;Process Chiller;Purified Water System;Biosafety Cabinet|ISO 13485 7.1.4|Verify installation space utilities and environmental suitability for the system type.|Installation environment meets documented requirements for the equipment intended use.|Utilities and environment affect facility and utility system performance.|active|v1.0||
OBL_QMSR_INSTALL_0005|STD_QMSR|21 CFR 820|IQ|INSTALLATION_ENVIRONMENT|Installation environment is suitable|The equipment is installed in an environment suitable for intended operation.|Inspection & Test|Vision Inspection;X-Ray Inspection;Metal Detector;Checkweigher;Leak Tester;Burst Tester;Seal Strength Tester;Dye Penetration Tester;Barcode Verifier;Label Applicator|ISO 13485 7.1.4|Verify installation location and environmental conditions suitability for test accuracy.|Installation environment meets documented requirements for the equipment intended use.|Environmental conditions can affect inspection and test results.|active|v1.0||
OBL_QMSR_INSTALL_0006|STD_QMSR|21 CFR 820|IQ|INSTALLATION_ENVIRONMENT|Installation environment is suitable|The equipment is installed in an environment suitable for intended operation.|Assembly & Joining|Automated Assembly Cell;Press-Fit Station;Crimping Machine;Heat Staking Machine;Adhesive Dispenser;Torque Fastening System|ISO 13485 7.1.4|Verify installation space utilities and environmental suitability for assembly processes.|Installation environment meets documented requirements for the equipment intended use.|Environmental conditions can affect assembly quality.|active|v1.0||
OBL_QMSR_INSTALL_0007|STD_QMSR|21 CFR 820|IQ|INSTALLATION_ENVIRONMENT|Installation environment is suitable|The equipment is installed in an environment suitable for intended operation.|Cold Chain & Storage|Refrigerator;Freezer;Ultra-Low Freezer;Cryogenic Storage;Controlled-Rate Freezer|ISO 13485 7.1.4|Verify installation location power and environmental suitability for temperature control.|Installation environment meets documented requirements for the equipment intended use.|Installation affects cold chain equipment performance.|active|v1.0||
OBL_QMSR_CAL_0001|STD_QMSR|21 CFR 820|IQ|CALIBRATION_MAINTENANCE|Critical instruments are calibrated and traceable|Critical measurement and control instruments are calibrated and traceable to national standards where applicable.|Metrology|Analytical Balance;Microbalance;Force/Torque Tester;Handheld Dimensional Tool;CMM;Optical Measurement System;Environmental Probe;Particle Counter;Surface Profilometer;Universal Testing Machine|ISO 13485 7.1.5;7.6|Verify calibration status and traceability of critical sensors and measuring systems.|Calibration is current and traceable per documented requirements.|Calibration traceability supports credible qualification and routine measurements.|active|v1.0||
OBL_QMSR_CAL_0002|STD_QMSR|21 CFR 820|IQ|CALIBRATION_MAINTENANCE|Critical instruments are calibrated and traceable|Critical measurement and control instruments are calibrated and traceable to national standards where applicable.|Sterilization|Steam Sterilizer (Pre-Vacuum);Steam Sterilizer (Gravity);Ethylene Oxide Sterilizer;EtO Aeration System;Radiation Sterilization (Gamma);Radiation Sterilization (E-Beam);VHP Decontamination System;Dry Heat Oven|ISO 13485 7.1.5;7.6|Verify calibration status and traceability of temperature pressure and timing systems.|Calibration is current and traceable per documented requirements.|Calibration traceability supports credible qualification and routine monitoring.|active|v1.0||
OBL_QMSR_CAL_0003|STD_QMSR|21 CFR 820|IQ|CALIBRATION_MAINTENANCE|Critical instruments are calibrated and traceable|Critical measurement and control instruments are calibrated and traceable where applicable.|Packaging|Heat Sealer;Tray Sealer;Blister Sealer;Form-Fill-Seal Machine;Cartoner;Case Packer;Shrink Wrapper|ISO 13485 7.1.5;7.6|Verify calibration status and traceability of temperature pressure and measurement systems.|Calibration is current and traceable per documented requirements.|Calibration traceability supports credible sealing and packaging control.|active|v1.0||
OBL_QMSR_CAL_0004|STD_QMSR|21 CFR 820|IQ|CALIBRATION_MAINTENANCE|Critical instruments are calibrated and traceable|Critical measurement and control instruments are calibrated and traceable where applicable.|Facilities & Utilities|Cleanroom HVAC;HEPA Filter;EMS;DP Monitor;Compressed Air System;Nitrogen Generator;Vacuum System;Process Chiller;Purified Water System;Biosafety Cabinet|ISO 13485 7.1.5;7.6|Verify calibration status and traceability of pressure temperature and monitoring sensors.|Calibration is current and traceable per documented requirements.|Calibration traceability supports credible facility and utility monitoring.|active|v1.0||
OBL_QMSR_CAL_0005|STD_QMSR|21 CFR 820|IQ|CALIBRATION_MAINTENANCE|Critical instruments are calibrated and traceable|Critical measurement and control instruments are calibrated and traceable where applicable.|Inspection & Test|Vision Inspection;X-Ray Inspection;Metal Detector;Checkweigher;Leak Tester;Burst Tester;Seal Strength Tester;Dye Penetration Tester;Barcode Verifier;Label Applicator|ISO 13485 7.1.5;7.6|Verify calibration status and traceability of load cells sensors and measurement systems.|Calibration is current and traceable per documented requirements.|Calibration traceability supports credible inspection and test results.|active|v1.0||
OBL_QMSR_CAL_0006|STD_QMSR|21 CFR 820|IQ|CALIBRATION_MAINTENANCE|Critical instruments are calibrated and traceable|Critical measurement and control instruments are calibrated and traceable where applicable.|Assembly & Joining|Automated Assembly Cell;Press-Fit Station;Crimping Machine;Heat Staking Machine;Adhesive Dispenser;Torque Fastening System|ISO 13485 7.1.5;7.6|Verify calibration status and traceability of force torque and measurement systems.|Calibration is current and traceable per documented requirements.|Calibration traceability supports credible assembly process control.|active|v1.0||
OBL_QMSR_CAL_0007|STD_QMSR|21 CFR 820|IQ|CALIBRATION_MAINTENANCE|Critical instruments are calibrated and traceable|Critical measurement and control instruments are calibrated and traceable where applicable.|Cold Chain & Storage|Refrigerator;Freezer;Ultra-Low Freezer;Cryogenic Storage;Controlled-Rate Freezer|ISO 13485 7.1.5;7.6|Verify calibration status and traceability of temperature monitoring systems.|Calibration is current and traceable per documented requirements.|Calibration traceability supports credible temperature control and monitoring.|active|v1.0||
OBL_QMSR_FUNC_0001|STD_QMSR|21 CFR 820|OQ|FUNCTIONAL_PERFORMANCE|Functions perform across operating range|The equipment performs its intended functions across the defined operating range.|Metrology|Analytical Balance;Microbalance;Force/Torque Tester;Handheld Dimensional Tool;CMM;Optical Measurement System;Environmental Probe;Particle Counter;Surface Profilometer;Universal Testing Machine|ISO 13485 7.1.5|Execute functional tests covering primary operating modes and defined operating range.|All functional tests complete successfully with results meeting documented expectations.|OQ demonstrates the equipment functions correctly under expected conditions.|active|v1.0||
OBL_QMSR_FUNC_0002|STD_QMSR|21 CFR 820|OQ|FUNCTIONAL_PERFORMANCE|Functions perform across operating range|The equipment performs its intended functions across the defined operating range.|Sterilization|Steam Sterilizer (Pre-Vacuum);Steam Sterilizer (Gravity);Ethylene Oxide Sterilizer;EtO Aeration System;Radiation Sterilization (Gamma);Radiation Sterilization (E-Beam);VHP Decontamination System;Dry Heat Oven|ISO 13485 7.1.5|Execute functional tests covering cycle phases alarms and control systems across operating range.|All functional tests complete successfully with results meeting documented expectations.|OQ demonstrates the sterilization equipment functions correctly under expected conditions.|active|v1.0||
OBL_QMSR_FUNC_0003|STD_QMSR|21 CFR 820|OQ|FUNCTIONAL_PERFORMANCE|Functions perform across operating range|The equipment performs its intended functions across the defined operating range.|Packaging|Heat Sealer;Tray Sealer;Blister Sealer;Form-Fill-Seal Machine;Cartoner;Case Packer;Shrink Wrapper|ISO 13485 7.1.5|Execute functional tests covering sealing forming or packaging operations across operating range.|All functional tests complete successfully with results meeting documented expectations.|OQ demonstrates the packaging equipment functions correctly under expected conditions.|active|v1.0||
OBL_QMSR_FUNC_0004|STD_QMSR|21 CFR 820|OQ|FUNCTIONAL_PERFORMANCE|Functions perform across operating range|The equipment performs its intended functions across the defined operating range.|Facilities & Utilities|Cleanroom HVAC;HEPA Filter;EMS;DP Monitor;Compressed Air System;Nitrogen Generator;Vacuum System;Process Chiller;Purified Water System;Biosafety Cabinet|ISO 13485 7.1.5|Execute functional tests covering primary operating parameters and control systems.|All functional tests complete successfully with results meeting documented expectations.|OQ demonstrates the facility or utility system functions correctly under expected conditions.|active|v1.0||
OBL_QMSR_FUNC_0005|STD_QMSR|21 CFR 820|OQ|FUNCTIONAL_PERFORMANCE|Functions perform across operating range|The equipment performs its intended functions across the defined operating range.|Inspection & Test|Vision Inspection;X-Ray Inspection;Metal Detector;Checkweigher;Leak Tester;Burst Tester;Seal Strength Tester;Dye Penetration Tester;Barcode Verifier;Label Applicator|ISO 13485 7.1.5|Execute functional tests covering inspection or test capability across defined range.|All functional tests complete successfully with results meeting documented expectations.|OQ demonstrates the inspection or test equipment functions correctly under expected conditions.|active|v1.0||
OBL_QMSR_FUNC_0006|STD_QMSR|21 CFR 820|OQ|FUNCTIONAL_PERFORMANCE|Functions perform across operating range|The equipment performs its intended functions across the defined operating range.|Assembly & Joining|Automated Assembly Cell;Press-Fit Station;Crimping Machine;Heat Staking Machine;Adhesive Dispenser;Torque Fastening System|ISO 13485 7.1.5|Execute functional tests covering assembly or joining operations across operating range.|All functional tests complete successfully with results meeting documented expectations.|OQ demonstrates the assembly equipment functions correctly under expected conditions.|active|v1.0||
OBL_QMSR_FUNC_0007|STD_QMSR|21 CFR 820|OQ|FUNCTIONAL_PERFORMANCE|Functions perform across operating range|The equipment performs its intended functions across the defined operating range.|Cold Chain & Storage|Refrigerator;Freezer;Ultra-Low Freezer;Cryogenic Storage;Controlled-Rate Freezer|ISO 13485 7.1.5|Execute functional tests covering temperature control and monitoring across operating range.|All functional tests complete successfully with results meeting documented expectations.|OQ demonstrates the cold chain equipment functions correctly under expected conditions.|active|v1.0||
OBL_QMSR_CFG_0001|STD_QMSR|21 CFR 820|IQ|CONFIGURATION_CHANGE_CONTROL|Configuration is documented and controlled|Equipment configuration settings and baselines are documented and controlled to support traceability and change control.|Metrology|Analytical Balance;Microbalance;Force/Torque Tester;CMM;Optical Measurement System;Particle Counter;Universal Testing Machine|ISO 13485 7.1.4|Verify that configuration settings and baselines are documented and subject to change control.|Configuration is documented and controlled per procedures.|Configuration control supports reproducibility and change impact assessment.|active|v1.0||
OBL_QMSR_CFG_0002|STD_QMSR|21 CFR 820|IQ|CONFIGURATION_CHANGE_CONTROL|Configuration is documented and controlled|Equipment configuration settings and baselines are documented and controlled to support traceability and change control.|Sterilization|Steam Sterilizer (Pre-Vacuum);Steam Sterilizer (Gravity);Ethylene Oxide Sterilizer;EtO Aeration System;VHP Decontamination System;Dry Heat Oven|ISO 13485 7.1.4|Verify that cycle recipes setpoints alarms and configuration baselines are documented and controlled.|Configuration is documented and controlled per procedures.|Configuration control supports reproducible sterilization cycles.|active|v1.0||
OBL_QMSR_CFG_0003|STD_QMSR|21 CFR 820|IQ|CONFIGURATION_CHANGE_CONTROL|Configuration is documented and controlled|Equipment configuration settings and baselines are documented and controlled to support traceability and change control.|Packaging|Heat Sealer;Tray Sealer;Blister Sealer;Form-Fill-Seal Machine;Cartoner;Case Packer;Shrink Wrapper|ISO 13485 7.1.4|Verify that sealing or packaging parameters are documented and subject to change control.|Configuration is documented and controlled per procedures.|Configuration control supports reproducible packaging processes.|active|v1.0||
OBL_QMSR_CFG_0004|STD_QMSR|21 CFR 820|IQ|CONFIGURATION_CHANGE_CONTROL|Configuration is documented and controlled|Equipment configuration settings and baselines are documented and controlled to support traceability and change control.|Facilities & Utilities|Cleanroom HVAC;HEPA Filter;EMS;DP Monitor;Compressed Air System;Nitrogen Generator;Vacuum System;Process Chiller;Purified Water System;Biosafety Cabinet|ISO 13485 7.1.4|Verify that setpoints limits and configuration baselines are documented and controlled.|Configuration is documented and controlled per procedures.|Configuration control supports reproducible facility and utility performance.|active|v1.0||
OBL_QMSR_CFG_0005|STD_QMSR|21 CFR 820|IQ|CONFIGURATION_CHANGE_CONTROL|Configuration is documented and controlled|Equipment configuration settings and baselines are documented and controlled to support traceability and change control.|Inspection & Test|Vision Inspection;X-Ray Inspection;Metal Detector;Checkweigher;Leak Tester;Burst Tester;Seal Strength Tester;Barcode Verifier|ISO 13485 7.1.4|Verify that inspection or test parameters are documented and subject to change control.|Configuration is documented and controlled per procedures.|Configuration control supports reproducible inspection and test results.|active|v1.0||
OBL_QMSR_CFG_0006|STD_QMSR|21 CFR 820|IQ|CONFIGURATION_CHANGE_CONTROL|Configuration is documented and controlled|Equipment configuration settings and baselines are documented and controlled to support traceability and change control.|Assembly & Joining|Automated Assembly Cell;Press-Fit Station;Crimping Machine;Heat Staking Machine;Adhesive Dispenser;Torque Fastening System|ISO 13485 7.1.4|Verify that assembly parameters are documented and subject to change control.|Configuration is documented and controlled per procedures.|Configuration control supports reproducible assembly processes.|active|v1.0||
OBL_QMSR_CFG_0007|STD_QMSR|21 CFR 820|IQ|CONFIGURATION_CHANGE_CONTROL|Configuration is documented and controlled|Equipment configuration settings and baselines are documented and controlled to support traceability and change control.|Cold Chain & Storage|Refrigerator;Freezer;Ultra-Low Freezer;Cryogenic Storage;Controlled-Rate Freezer|ISO 13485 7.1.4|Verify that setpoints and configuration baselines are documented and controlled.|Configuration is documented and controlled per procedures.|Configuration control supports reproducible temperature control.|active|v1.0||
OBL_QMSR_DOC_0008|STD_QMSR|21 CFR 820|IQ|DATA_INTEGRITY_RECORDS|Required documentation is present and controlled|Required equipment documentation is present and controlled to support qualification and routine use.|Analytical|HPLC System;GC/MS System;FTIR Spectrometer;UV-Vis Spectrophotometer;TOC Analyzer;pH Measurement System;Conductivity Measurement System;Laboratory Incubator;CO2 Incubator;Benchtop Centrifuge;Refrigerated Centrifuge;Microplate Reader|820.10;ISO 13485 4.2|Verify the presence and controlled status of manufacturer instructions calibration evidence and applicable SOPs.|All required documents are present and uniquely identifiable with controlled access for intended users.|QMS requires controlled documentation for equipment affecting product quality.|active|v1.0||
OBL_QMSR_DOC_0009|STD_QMSR|21 CFR 820|IQ|DATA_INTEGRITY_RECORDS|Required documentation is present and controlled|Required equipment documentation is present and controlled to support qualification and routine use.|Decontamination|Washer-Disinfector;Ultrasonic Cleaner|820.10;ISO 13485 4.2|Verify the presence and controlled status of manufacturer instructions and applicable SOPs.|All required documents are present and uniquely identifiable with controlled access for intended users.|QMS requires controlled documentation for equipment affecting product quality.|active|v1.0||
OBL_QMSR_DOC_0010|STD_QMSR|21 CFR 820|IQ|DATA_INTEGRITY_RECORDS|Required documentation is present and controlled|Required equipment documentation is present and controlled to support qualification and routine use.|Manufacturing|Injection Molding Machine;Medical Extrusion Line;CNC Machining Center;CNC Turning Center;Laser Cutting System;Plasma Spray System|820.10;ISO 13485 4.2|Verify the presence and controlled status of manufacturer instructions and applicable SOPs.|All required documents are present and uniquely identifiable with controlled access for intended users.|QMS requires controlled documentation for equipment affecting product quality.|active|v1.0||
OBL_QMSR_DOC_0011|STD_QMSR|21 CFR 820|IQ|DATA_INTEGRITY_RECORDS|Required documentation is present and controlled|Required equipment documentation is present and controlled to support qualification and routine use.|IVD|Clinical Chemistry Analyzer;Hematology Analyzer;Blood Gas Analyzer|820.10;ISO 13485 4.2|Verify the presence and controlled status of manufacturer instructions calibration evidence and applicable SOPs.|All required documents are present and uniquely identifiable with controlled access for intended users.|QMS requires controlled documentation for equipment affecting product quality.|active|v1.0||
OBL_QMSR_INSTALL_0008|STD_QMSR|21 CFR 820|IQ|INSTALLATION_ENVIRONMENT|Installation environment is suitable|The equipment is installed in an environment suitable for intended operation.|Analytical|HPLC System;GC/MS System;FTIR Spectrometer;UV-Vis Spectrophotometer;TOC Analyzer;pH Measurement System;Conductivity Measurement System;Laboratory Incubator;CO2 Incubator;Benchtop Centrifuge;Refrigerated Centrifuge;Microplate Reader|ISO 13485 7.1.4|Verify installation location and environmental conditions suitability for analytical accuracy.|Installation environment meets documented requirements for the equipment intended use.|Environmental conditions can affect analytical instrument performance.|active|v1.0||
OBL_QMSR_INSTALL_0009|STD_QMSR|21 CFR 820|IQ|INSTALLATION_ENVIRONMENT|Installation environment is suitable|The equipment is installed in an environment suitable for intended operation.|Decontamination|Washer-Disinfector;Ultrasonic Cleaner|ISO 13485 7.1.4|Verify installation utilities and space suitability for cleaning and disinfection processes.|Installation environment meets documented requirements for the equipment intended use.|Environmental and utility conditions affect decontamination performance.|active|v1.0||
OBL_QMSR_INSTALL_0010|STD_QMSR|21 CFR 820|IQ|INSTALLATION_ENVIRONMENT|Installation environment is suitable|The equipment is installed in an environment suitable for intended operation.|Manufacturing|Injection Molding Machine;Medical Extrusion Line;CNC Machining Center;CNC Turning Center;Laser Cutting System;Plasma Spray System|ISO 13485 7.1.4|Verify installation space utilities and environmental suitability for manufacturing processes.|Installation environment meets documented requirements for the equipment intended use.|Environmental conditions can affect manufacturing quality.|active|v1.0||
OBL_QMSR_INSTALL_0011|STD_QMSR|21 CFR 820|IQ|INSTALLATION_ENVIRONMENT|Installation environment is suitable|The equipment is installed in an environment suitable for intended operation.|IVD|Clinical Chemistry Analyzer;Hematology Analyzer;Blood Gas Analyzer|ISO 13485 7.1.4|Verify installation location and environmental suitability for analyzer performance.|Installation environment meets documented requirements for the equipment intended use.|Environmental conditions can affect IVD analyzer performance.|active|v1.0||
OBL_QMSR_CAL_0008|STD_QMSR|21 CFR 820|IQ|CALIBRATION_MAINTENANCE|Critical instruments are calibrated and traceable|Critical measurement and control instruments are calibrated and traceable where applicable.|Analytical|HPLC System;GC/MS System;FTIR Spectrometer;UV-Vis Spectrophotometer;TOC Analyzer;pH Measurement System;Conductivity Measurement System;Microplate Reader|ISO 13485 7.1.5;7.6|Verify calibration status and traceability of detectors sensors and measurement systems.|Calibration is current and traceable per documented requirements.|Calibration traceability supports credible analytical results.|active|v1.0||
OBL_QMSR_CAL_0009|STD_QMSR|21 CFR 820|IQ|CALIBRATION_MAINTENANCE|Critical instruments are calibrated and traceable|Critical measurement and control instruments are calibrated and traceable where applicable.|Decontamination|Washer-Disinfector|ISO 13485 7.1.5;7.6|Verify calibration status and traceability of temperature and flow sensors where applicable.|Calibration is current and traceable per documented requirements.|Calibration traceability supports credible decontamination monitoring.|active|v1.0||
OBL_QMSR_CAL_0010|STD_QMSR|21 CFR 820|IQ|CALIBRATION_MAINTENANCE|Critical instruments are calibrated and traceable|Critical measurement and control instruments are calibrated and traceable where applicable.|Manufacturing|CNC Machining Center;CNC Turning Center;Laser Cutting System;Plasma Spray System|ISO 13485 7.1.5;7.6|Verify calibration status and traceability of measurement and positioning systems.|Calibration is current and traceable per documented requirements.|Calibration traceability supports credible manufacturing control.|active|v1.0||
OBL_QMSR_CAL_0011|STD_QMSR|21 CFR 820|IQ|CALIBRATION_MAINTENANCE|Critical instruments are calibrated and traceable|Critical measurement and control instruments are calibrated and traceable where applicable.|IVD|Clinical Chemistry Analyzer;Hematology Analyzer;Blood Gas Analyzer|ISO 13485 7.1.5;7.6|Verify calibration status and traceability of analytical and quality control systems.|Calibration is current and traceable per documented requirements.|Calibration traceability supports credible IVD results.|active|v1.0||
OBL_QMSR_FUNC_0008|STD_QMSR|21 CFR 820|OQ|FUNCTIONAL_PERFORMANCE|Functions perform across operating range|The equipment performs its intended functions across the defined operating range.|Analytical|HPLC System;GC/MS System;FTIR Spectrometer;UV-Vis Spectrophotometer;TOC Analyzer;pH Measurement System;Conductivity Measurement System;Laboratory Incubator;CO2 Incubator;Benchtop Centrifuge;Refrigerated Centrifuge;Microplate Reader|ISO 13485 7.1.5|Execute functional tests covering primary operating modes and defined operating range.|All functional tests complete successfully with results meeting documented expectations.|OQ demonstrates the analytical equipment functions correctly under expected conditions.|active|v1.0||
OBL_QMSR_FUNC_0009|STD_QMSR|21 CFR 820|OQ|FUNCTIONAL_PERFORMANCE|Functions perform across operating range|The equipment performs its intended functions across the defined operating range.|Decontamination|Washer-Disinfector;Ultrasonic Cleaner|ISO 13485 7.1.5|Execute functional tests covering cleaning or disinfection operations across operating range.|All functional tests complete successfully with results meeting documented expectations.|OQ demonstrates the decontamination equipment functions correctly under expected conditions.|active|v1.0||
OBL_QMSR_FUNC_0010|STD_QMSR|21 CFR 820|OQ|FUNCTIONAL_PERFORMANCE|Functions perform across operating range|The equipment performs its intended functions across the defined operating range.|Manufacturing|Injection Molding Machine;Medical Extrusion Line;CNC Machining Center;CNC Turning Center;Laser Cutting System;Plasma Spray System|ISO 13485 7.1.5|Execute functional tests covering molding extrusion machining or cutting operations across operating range.|All functional tests complete successfully with results meeting documented expectations.|OQ demonstrates the manufacturing equipment functions correctly under expected conditions.|active|v1.0||
OBL_QMSR_FUNC_0011|STD_QMSR|21 CFR 820|OQ|FUNCTIONAL_PERFORMANCE|Functions perform across operating range|The equipment performs its intended functions across the defined operating range.|IVD|Clinical Chemistry Analyzer;Hematology Analyzer;Blood Gas Analyzer|ISO 13485 7.1.5|Execute functional tests covering analytical capability across defined operating range.|All functional tests complete successfully with results meeting documented expectations.|OQ demonstrates the IVD equipment functions correctly under expected conditions.|active|v1.0||
OBL_QMSR_CFG_0008|STD_QMSR|21 CFR 820|IQ|CONFIGURATION_CHANGE_CONTROL|Configuration is documented and controlled|Equipment configuration settings and baselines are documented and controlled to support traceability and change control.|Analytical|HPLC System;GC/MS System;TOC Analyzer;Microplate Reader|ISO 13485 7.1.4|Verify that method and configuration parameters are documented and subject to change control.|Configuration is documented and controlled per procedures.|Configuration control supports reproducible analytical methods.|active|v1.0||
OBL_QMSR_CFG_0009|STD_QMSR|21 CFR 820|IQ|CONFIGURATION_CHANGE_CONTROL|Configuration is documented and controlled|Equipment configuration settings and baselines are documented and controlled to support traceability and change control.|Decontamination|Washer-Disinfector|ISO 13485 7.1.4|Verify that cycle parameters are documented and subject to change control.|Configuration is documented and controlled per procedures.|Configuration control supports reproducible decontamination cycles.|active|v1.0||
