id,canonical_name,category,subtype,key_attributes_schema,default_iq,default_oq,default_pq,default_calibration_months,default_maintenance_months,default_requalification_months,risk_level,regulatory_references,search_aliases,locale_overrides,notes
,Injection Molding Machine,Production: Material Forming,All-Electric Precision,"{""clamp_force"":{""type"":""number"",""units"":""ton""},""shot_size"":{""type"":""number"",""units"":""oz""},""screw_dia"":{""type"":""number"",""units"":""mm""}}",TRUE,TRUE,TRUE,12,12,24,High,ISO 13485;21 CFR 820.75;ISO 14971,molder;press;plastic molder;Engel;Arburg,{},"OQ establishes the ""process window"" (Melt Temp, Pack Pressure)."
,Plastic Extruder,Production: Material Forming,Multi-Lumen Co-Extrusion,"{""screw_speed"":{""type"":""number"",""units"":""rpm""},""barrel_zones"":{""type"":""integer""},""vacuum_sizing"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,12,6,12,High,ISO 13485;21 CFR 820.75;ISO 14971,extrusion line;tube maker;catheter extruder,{},Critical for catheter tubing dimensions (OD/ID). PQ uses actual resin lot.
,Pouch Sealer,Production: Packaging,Continuous Rotary Band,"{""seal_width"":{""type"":""number"",""units"":""mm""},""temp_setpoint"":{""type"":""number"",""units"":""C""},""pressure"":{""type"":""number"",""units"":""N""}}",TRUE,TRUE,TRUE,12,12,12,High,ISO 11607-2;ASTM F88;ASTM F1929,heat sealer;band sealer;sterile barrier sealer,{},PQ requires seal strength and dye penetration integrity testing.
,Lyophilizer,Sterilization & Decontamination,Pilot Scale Industrial,"{""condenser_cap"":{""type"":""number"",""units"":""kg""},""shelf_temp"":{""type"":""range"",""units"":""C""},""vacuum"":{""type"":""number"",""units"":""mTorr""}}",TRUE,TRUE,TRUE,6,6,12,High,ISO 13485;21 CFR 820.75;FDA QMSR,freeze dryer;sublimation unit;lyo,{},Critical for stabilizing HCT/Ps or reagents. Cycle validation required.
,Digital Caliper,Measurement & Metrology,Wireless Data Logging,"{""accuracy"":{""type"":""number"",""units"":""mm""},""resolution"":{""type"":""number"",""units"":""mm""},""range"":{""type"":""number"",""units"":""mm""}}",TRUE,FALSE,FALSE,12,,,Medium,ISO 17025;FDA QMSR;ISO 13485,micrometer;vernier;measuring tool,{},Calibrated against NIST traceable standards. Data logging aids UDI.
,Particle Counter,Measurement & Metrology,Laser Scattering Air,"{""flow_rate"":{""type"":""number"",""units"":""LPM""},""channels"":{""type"":""array""},""sensitivity"":{""type"":""number"",""units"":""um""}}",TRUE,TRUE,FALSE,12,12,,High,ISO 14644-1;FDA QMSR;ISO 13485,aerosol counter;cleanroom tester;particle meter,{},Essential for cleanroom certification. Recalibration every 12 months.
,PH Meter,Analytical Laboratory,Benchtop Precision,"{""ph_range"":{""type"":""range"",""units"":""pH""},""slope_check"":{""type"":""boolean""},""temp_comp"":{""type"":""boolean""}}",TRUE,TRUE,FALSE,6,12,,Medium,USP <791>;USP <1058>;ISO 13485,acidity meter;electrode;pH probe,{},Requires daily 2-point or 3-point calibration using certified buffers.
,Ultrasonic Welder,Production: Assembly & Joining,Press-Style Benchtop,"{""frequency"":{""type"":""number"",""units"":""kHz""},""trigger_force"":{""type"":""number"",""units"":""N""},""amplitude"":{""type"":""number"",""units"":""um""}}",TRUE,TRUE,TRUE,12,6,12,High,ISO 13485;21 CFR 820.75;ISO 14971,welder;sonic bonder;plastic welder;Branson,{},PQ evaluates weld strength and visual flash against specifications.
,Walk-In Cold Room,Cold Chain,Temperature Mapped,"{""setpoint"":{""type"":""number"",""units"":""C""},""redundant_cooling"":{""type"":""boolean""},""alarm_delays"":{""type"":""number"",""units"":""min""}}",TRUE,TRUE,TRUE,12,6,12,High,FDA QMSR;ISO 13485;ISO 14644,cold storage room;refrigerated warehouse;WICR,{},"PQ requires mapping with multiple sensors (e.g., 9-15) under empty/full load."
,Peristaltic Pump,Production: Assembly & Filling,Variable Speed Precision,"{""flow_rate"":{""type"":""range"",""units"":""mL/min""},""tubing_compatibility"":{""type"":""string""}}",TRUE,TRUE,TRUE,12,12,12,Medium,ISO 13485;21 CFR 820.75,dosing pump;tubing pump;filler pump,{},PQ confirms volume accuracy and repeatability for vial/pouch filling.
,CNC Vertical Machining Center,Precision Machining,5-Axis Milling,"{""spindle_speed"":{""type"":""number"",""units"":""RPM""},""tool_positions"":{""type"":""integer""},""coolant_type"":{""type"":""enum"",""values"":[""Flood"",""Mist""]}}",TRUE,TRUE,TRUE,12,6,24,High,ISO 13485;21 CFR 820.70;ASTM F2026,VMC;Haas;Mazak;Mill;Milling Machine,{},OQ requires ball-bar testing and spindle runout verification.
,CNC Swiss Lathe,Precision Machining,Sliding Headstock,"{""max_bar_diameter"":{""type"":""number"",""units"":""mm""},""sub_spindle"":{""type"":""boolean""},""guide_bushing"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,12,6,24,High,ISO 13485;21 CFR 820.70;ISO 14971,Swiss Turn;Citizen;Star Lathe;Screw Machine,{},Standard for orthopedic bone screws and dental implants.
,Wire EDM Machine,Precision Machining,Submerged Wire Cut,"{""wire_diameter"":{""type"":""range"",""units"":""mm""},""dielectric_fluid"":{""type"":""string""},""max_taper_angle"":{""type"":""number"",""units"":""deg""}}",TRUE,TRUE,TRUE,12,12,,High,ISO 13485;21 CFR 820.70,EDM;Wire Cut;Electrical Discharge Machine,{},Critical for ultra-fine geometries in surgical instruments.
,Laser Cutting System,Precision Machining,Fiber Laser Stent Cutter,"{""laser_power"":{""type"":""number"",""units"":""W""},""pulse_freq"":{""type"":""number"",""units"":""kHz""},""gas_assist"":{""type"":""enum"",""values"":[""O2"",""N2"",""Ar""]}}",TRUE,TRUE,TRUE,12,6,12,High,ISO 13485;21 CFR 820.75,Stent cutter;Laser mill;Tube cutter,{},PQ requires validation of Heat Affected Zone (HAZ) and dimensional stability.
,Waterjet Cutting System,Precision Machining,Ultra-High Pressure CNC,"{""pump_pressure"":{""type"":""number"",""units"":""PSI""},""abrasive_flow"":{""type"":""number"",""units"":""kg/min""},""nozzle_size"":{""type"":""number"",""units"":""mm""}}",TRUE,TRUE,TRUE,12,6,,Medium,ISO 13485;21 CFR 820.70,Flow;Water cutter;Abrasive jet,{},Used for rough shaping of orthopedic blanks.
,Coordinate Measuring Machine (CMM),Metrology,Bridge-Style CNC,"{""measuring_vol"":{""type"":""string""},""probe_type"":{""type"":""string""},""accuracy"":{""type"":""number"",""units"":""um""}}",TRUE,TRUE,TRUE,12,12,24,High,ISO 10360;ISO 17025;FDA QMSR,CMM;Metrology station;Brown & Sharpe;Zeiss,{},OQ involves verification using certified artifacts (Step Gauges/Spheres).
,Optical Comparator,Metrology,Digital Profile Projector,"{""magnification"":{""type"":""array""},""screen_size"":{""type"":""number"",""units"":""mm""},""data_processor"":{""type"":""boolean""}}",TRUE,TRUE,FALSE,12,12,,Medium,ISO 17025;FDA QMSR,Shadowgraph;Profile projector;Keyence IM,{},Calibration verifies stage linear accuracy and magnification distortion.
,Clinical Chemistry Analyzer,IVD Laboratory,Discrete Automated,"{""throughput"":{""type"":""number"",""units"":""tests/hr""},""reagent_cooling"":{""type"":""boolean""},""sample_vol"":{""type"":""number"",""units"":""uL""}}",TRUE,TRUE,TRUE,6,6,12,High,CLIA;USP <1058>;ISO 15189,Chemistry system;Beckman;Siemens;IVD Analyzer,{},USP <1058> Group C. Requires CSV and linearity validation.
,Hematology Analyzer,IVD Laboratory,5-Part Differential,"{""technology"":{""type"":""enum"",""values"":[""Flow Cytometry"",""Impedance""]},""parameters_counted"":{""type"":""integer""}}",TRUE,TRUE,TRUE,6,6,12,High,CLIA;USP <1058>;21 CFR 864,CBC machine;Blood counter;Coulter counter,{},Calibration often uses stabilized whole blood controls.
,Blood Gas Analyzer,IVD Laboratory,Cartridge-Based,"{""measured_analytes"":{""type"":""array""},""warmup_time"":{""type"":""number"",""units"":""sec""}}",TRUE,TRUE,TRUE,6,12,,High,CLIA;USP <1058>;21 CFR 862,ABG machine;POCT analyzer;Electrolyte meter,{},Critical for surgical support. OQ includes verification of POC connectivity.
,ELISA Plate Reader,IVD Laboratory,Multimode (Abs/Fl/Lum),"{""wavelength_range"":{""type"":""range"",""units"":""nm""},""shaking_modes"":{""type"":""array""},""temp_control"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,12,12,12,Medium,USP <1058>;FDA QMSR,Microplate reader;Spectramax;Tecan;ELISA,{},"OQ verifies photometric accuracy, linearity, and plate alignment."
,ELISA Plate Washer,IVD Laboratory,96-Well Automated,"{""residual_vol"":{""type"":""number"",""units"":""uL/well""},""wash_heads"":{""type"":""integer""},""vacuum_press"":{""type"":""number"",""units"":""bar""}}",TRUE,TRUE,TRUE,12,6,,Medium,USP <1058>;FDA QMSR,Plate washer;BioTek;Washer manifold,{},PQ confirms efficient aspiration to prevent cross-contamination.
,Real-Time PCR Machine,IVD Laboratory,96-Well qPCR,"{""thermal_accuracy"":{""type"":""number"",""units"":""C""},""optical_channels"":{""type"":""integer""},""lid_temp"":{""type"":""number"",""units"":""C""}}",TRUE,TRUE,TRUE,12,12,12,High,USP <1058>;21 CFR Part 11;ISO 13485,Thermocycler;qPCR;TaqMan;Bio-Rad,{},Critical for viral/genetic testing. Requires strict temperature uniformity OQ.
,DNA Sequencer,IVD Laboratory,Next-Generation (NGS),"{""flowcell_capacity"":{""type"":""integer""},""run_time"":{""type"":""range"",""units"":""hr""},""read_length"":{""type"":""number"",""units"":""bp""}}",TRUE,TRUE,TRUE,12,6,12,High,USP <1058>;21 CFR Part 11;ISO 20916,NGS;Illumina;Ion Torrent;Sequencing platform,{},High software complexity; requires extensive CSV and data integrity validation.
,Flow Cytometer,IVD Laboratory,Multi-Laser Analyzer,"{""lasers"":{""type"":""integer""},""detectors"":{""type"":""integer""},""max_event_rate"":{""type"":""number"",""units"":""eps""}}",TRUE,TRUE,TRUE,12,6,12,High,USP <1058>;ISO 13485;21 CFR 1271,FACS;Cell sorter;BD Facs;Flow machine,{},Crucial for HCT/P cell viability and purity characterization.
,Automated Liquid Handler,IVD Laboratory,Robotic Pipetting Workcell,"{""tip_types"":{""type"":""array""},""vol_range"":{""type"":""range"",""units"":""uL""},""deck_capacity"":{""type"":""integer""}}",TRUE,TRUE,TRUE,12,6,12,High,USP <1058>;21 CFR Part 11,Hamilton;Robotic pipettor;Liquid robot,{},PQ must include gravimetric or photometric volume verification.
,Centerless Grinder,Precision Machining,Thru-Feed/In-Feed,"{""grinding_wheel_dia"":{""type"":""number"",""units"":""mm""},""spindle_power"":{""type"":""number"",""units"":""kW""}}",TRUE,TRUE,TRUE,12,6,,Medium,ISO 13485;21 CFR 820.70,Grinder;Oshino;Precision grinder,{},Used for guidewire and mandrel production. PQ verifies OD taper/roundness.
,Surface Profilometer,Metrology,Contact Stylus,"{""vertical_range"":{""type"":""number"",""units"":""um""},""stylus_force"":{""type"":""number"",""units"":""mN""},""resolution"":{""type"":""number"",""units"":""nm""}}",TRUE,TRUE,FALSE,12,12,,Medium,ISO 25178;ISO 17025;FDA QMSR,Ra tester;Roughness meter;Stylus profiler,{},Critical for verifying implant surface finish (Ra/Rz).
,Universal Testing Machine (UTM),Metrology,Dual Column Tensile,"{""load_cell_cap"":{""type"":""number"",""units"":""kN""},""speed_range"":{""type"":""range"",""units"":""mm/min""},""extensometer"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,12,12,,High,ASTM E4;ISO 13485;ASTM F1717,Instron;Tensile tester;Pull tester;Zwick,{},Critical for destructive testing of implants/welds.
,Vision Inspection System,Metrology,3D Profiling Sensor,"{""fov_size"":{""type"":""string""},""depth_resolution"":{""type"":""number"",""units"":""um""},""frame_rate"":{""type"":""number"",""units"":""fps""}}",TRUE,TRUE,TRUE,12,12,12,High,ISO 13485;21 CFR Part 11;21 CFR 830,Vision camera;Cognex;Keyence;Smart sensor,{},"Validation must include ""known good"" and ""known bad"" challenge runs."
,Pouch Sealer (Impulse),Production: Packaging,Impulse Bar Sealer,"{""seal_time"":{""type"":""number"",""units"":""sec""},""seal_temp"":{""type"":""number"",""units"":""C""},""cooling_time"":{""type"":""number"",""units"":""sec""}}",TRUE,TRUE,TRUE,12,12,12,High,ISO 11607-2;ASTM F88,Heat sealer;Bar sealer;Sterile barrier sealer,{},Critical for sterile barrier integrity. PQ requires seal strength testing. 
,Tray Sealer,Production: Packaging,Shuttle-Style Medical,"{""platen_size"":{""type"":""string""},""seal_pressure"":{""type"":""number"",""units"":""PSI""},""dwell_time"":{""type"":""number"",""units"":""sec""}}",TRUE,TRUE,TRUE,12,6,12,High,ISO 11607-2;ISO 13485,Blister sealer;Tray bonder;Alloyd,{},OQ verifies temperature uniformity across the sealing platen. 
,Form-Fill-Seal Machine,Production: Packaging,Horizontal Thermoform (HFFS),"{""forming_depth"":{""type"":""number"",""units"":""mm""},""cycle_rate"":{""type"":""number"",""units"":""CPM""},""vacuum_level"":{""type"":""number"",""units"":""mbar""}}",TRUE,TRUE,TRUE,12,6,12,High,ISO 11607-1;21 CFR 820.75,Thermoformer;Multivac;Packaging line,{},PQ includes visual inspection for forming defects and seal integrity. 
,Thermal Transfer Printer,Production: Labeling,High-Resolution UDI Printer,"{""dpi"":{""type"":""number"",""units"":""dots/in""},""ribbon_type"":{""type"":""string""},""print_width"":{""type"":""number"",""units"":""mm""}}",TRUE,TRUE,FALSE,12,12,,Medium,21 CFR 830;21 CFR Part 11,Zebra printer;Label maker;Barcode printer,{},Validation focuses on barcode scanability and UDI compliance.
,Inkjet Coder,Production: Labeling,Continuous Inkjet (CIJ),"{""nozzle_size"":{""type"":""number"",""units"":""um""},""ink_composition"":{""type"":""string""},""throw_distance"":{""type"":""number"",""units"":""mm""}}",TRUE,TRUE,FALSE,12,6,,Medium,21 CFR 830;ISO 13485,Videojet;Batch coder;Lot printer,{},OQ includes character clarity and solvent resistance testing. 
,Label Applicator,Production: Labeling,Wrap-Around Automated,"{""conveyor_speed"":{""type"":""number"",""units"":""m/min""},""placement_accuracy"":{""type"":""number"",""units"":""mm""}}",TRUE,TRUE,TRUE,12,12,,Medium,21 CFR 820;ISO 13485,Labeler;Bottle labeler;Sticker machine,{},PQ confirms placement consistency and absence of wrinkles/flagging. 
,Checkweigher,Production: Inspection,High-Speed Dynamic,"{""capacity"":{""type"":""number"",""units"":""g""},""accuracy"":{""type"":""number"",""units"":""mg""},""reject_mechanism"":{""type"":""string""}}",TRUE,TRUE,TRUE,12,6,,Medium,NIST HB 44;21 CFR 820,Weight checker;Inline scale;Rejecter,{},"OQ involves ""known weight"" challenge at various line speeds. "
,HVAC Air Handling Unit,Facilities & Utilities,Cleanroom AHU,"{""airflow_volume"":{""type"":""number"",""units"":""CFM""},""filter_stages"":{""type"":""integer""},""static_pressure"":{""type"":""number"",""units"":""in_wg""}}",TRUE,TRUE,TRUE,12,6,12,High,ISO 14644-1;FDA QMSR,Air handler;AC unit;Cleanroom supply,{},Critical for environmental control (Class 5/7/8). PQ is Cleanroom Cert. 
,HEPA Fan Filter Unit (FFU),Facilities & Utilities,Ceiling Integrated,"{""face_velocity"":{""type"":""number"",""units"":""FPM""},""filter_efficiency"":{""type"":""number"",""units"":""%""}}",TRUE,TRUE,FALSE,12,12,12,High,ISO 14644-3;NSF 49,HEPA filter;Fan unit;Ceiling filter,{},OQ involves filter integrity (PAO) leak testing. 
,Compressed Air System,Facilities & Utilities,Oil-Free Scroll,"{""max_pressure"":{""type"":""number"",""units"":""PSI""},""dew_point"":{""type"":""number"",""units"":""C""},""particulate_rating"":{""type"":""string""}}",TRUE,TRUE,TRUE,12,6,12,High,ISO 8573-1;FDA QMSR,Process air;CDA;Air compressor,{},"Validation requires air quality testing (Oil, Water, Particles). "
,Pure Steam Generator,Facilities & Utilities,Distillation Column,"{""steam_capacity"":{""type"":""number"",""units"":""kg/hr""},""conductivity"":{""type"":""number"",""units"":""uS/cm""}}",TRUE,TRUE,TRUE,12,6,12,High,ISO 17665;USP <1231>,Clean steam;PSG;Sterile steam,{},Critical for autoclave supply. Quality must meet WFI standards. 
,Pass-Through Chamber,Facilities & Utilities,Active HEPA Interlock,"{""interlock_logic"":{""type"":""string""},""air_change_rate"":{""type"":""number"",""units"":""ACH""}}",TRUE,TRUE,FALSE,12,12,,Medium,ISO 14644;FDA QMSR,Transfer hatch;Pass-box;Cleanroom hatch,{},OQ verifies interlock timing and pressure differential recovery.
,Microbiological Air Sampler,Environment & Safety,Impacting Portable,"{""sampling_rate"":{""type"":""number"",""units"":""LPM""},""timer_accuracy"":{""type"":""number"",""units"":""%""}}",TRUE,TRUE,FALSE,12,12,,High,ISO 14698;FDA QMSR,Bio-sampler;Air monitor;Colony counter,{},Essential for viable particle monitoring in aseptic areas.
,Water for Injection (WFI) System,Facilities & Utilities,Vapor Compression Still,"{""output_flow"":{""type"":""number"",""units"":""GPM""},""toc_level"":{""type"":""number"",""units"":""ppb""},""endotoxin_spec"":{""type"":""number"",""units"":""EU/mL""}}",TRUE,TRUE,TRUE,6,6,12,High,USP <1231>;ISO 13485,WFI;Sterile water;VC Still,{},Requires Phase I/II/III validation (up to 1 year for Phase III). 
,Ethylene Oxide (EtO) Chamber,Sterilization & Decontamination,Industrial Contract,"{""chamber_vol"":{""type"":""number"",""units"":""m3""},""eto_concentration"":{""type"":""number"",""units"":""mg/L""},""humidity_setpoint"":{""type"":""number"",""units"":""%""}}",TRUE,TRUE,TRUE,6,6,12,High,ISO 11135;21 CFR 820.75,Gas sterilizer;EtO room;Terminal sterilizer,{},PQ requires 3 full cycles and 1-3 fractional/half-cycles.
,Gamma Irradiator,Sterilization & Decontamination,Continuous Tote Carrier,"{""source_activity"":{""type"":""number"",""units"":""kCi""},""dose_range"":{""type"":""range"",""units"":""kGy""},""conveyor_speed"":{""type"":""number"",""units"":""m/hr""}}",TRUE,TRUE,TRUE,12,12,12,High,ISO 11137-1;ISO 11137-2,Radiation plant;Cobalt-60;Gamma plant,{},PQ focuses on dose mapping and minimum/maximum dose ratios.
,VHP Generator,Sterilization & Decontamination,Mobile Decon Unit,"{""h2o2_injection_rate"":{""type"":""number"",""units"":""g/min""},""airflow_rate"":{""type"":""number"",""units"":""m3/hr""}}",TRUE,TRUE,TRUE,12,6,12,High,ISO 14937;ISO 14644,Hydrogen peroxide fogger;VHP unit;Steris,{},Used for cleanroom and isolator decontamination. Cycle validation required.
,Micro-Molding Machine,Production: Material Forming,High-Resolution Desktop,"{""clamp_force"":{""type"":""number"",""units"":""kN""},""injection_velocity"":{""type"":""number"",""units"":""mm/s""},""shot_resolution"":{""type"":""number"",""units"":""mg""}}",TRUE,TRUE,TRUE,12,12,24,High,ISO 13485;21 CFR 820.75,Mini-molder;Micro-injection;Small part press,{},Used for tiny implant components. OQ verifies gate freeze-off timing.
,Electronic Pipette,Measurement & Metrology,Programmed Variable Vol,"{""vol_range"":{""type"":""range"",""units"":""uL""},""motor_accuracy"":{""type"":""number"",""units"":""%""}}",TRUE,TRUE,FALSE,6,12,,Low,ISO 8655;USP <1058>,Auto-pipette;Digital pipette;Eppendorf,{},USP <1058> Group B. Calibrated gravimetrically. 
,Ultrasonic Cleaner,Sterilization & Decontamination,Multi-Tank Aqueous,"{""frequency"":{""type"":""number"",""units"":""kHz""},""bath_temp"":{""type"":""number"",""units"":""C""},""degas_time"":{""type"":""number"",""units"":""min""}}",TRUE,TRUE,TRUE,12,12,12,Medium,ISO 15883;AAMI ST98,Sonic bath;Parts washer;Branson bath,{},OQ verifies ultrasonic activity uniformity using foil tests. 
,Plasma Spray System,Production: Surface Treatment,Hydroxyapatite (HA) Coating,"{""plate_power"":{""type"":""number"",""units"":""kW""},""spray_distance"":{""type"":""number"",""units"":""mm""},""powder_feed_rate"":{""type"":""number"",""units"":""g/min""}}",TRUE,TRUE,TRUE,12,6,12,High,ISO 13779-2;ASTM F1147;FDA QMSR,HA sprayer;implant coater;thermal spray,{},PQ must include HA crystallinity and adhesion strength testing.
,Hydrophilic Coating Line,Production: Surface Treatment,UV-Curable Catheter Coating,"{""uv_dosage"":{""type"":""number"",""units"":""J/cm2""},""dip_speed"":{""type"":""number"",""units"":""mm/s""},""viscosity"":{""type"":""number"",""units"":""cP""}}",TRUE,TRUE,TRUE,6,6,12,High,ISO 13485;ASTM F2397;USP 788,lubritious coating;UV coater;dip tank,{},Critical for catheter lubricity. OQ verifies UV intensity uniformity.
,Balloon Forming Machine,Production: Material Forming,Cardiovascular Blow-Molder,"{""forming_pressure"":{""type"":""number"",""units"":""psi""},""mold_temp"":{""type"":""number"",""units"":""C""},""stretch_speed"":{""type"":""number"",""units"":""mm/s""}}",TRUE,TRUE,TRUE,6,6,12,High,ISO 13485;FDA QMSR;ISO 10555,balloon molder;PTCA former;stent balloon,{},Critical for balloon wall thickness and burst pressure.
,Stent Crimping Machine,Production: Assembly,Automated Heart Valve/Stent,"{""crimping_force"":{""type"":""number"",""units"":""N""},""target_diameter"":{""type"":""number"",""units"":""mm""},""dwell_time"":{""type"":""number"",""units"":""sec""}}",TRUE,TRUE,TRUE,6,12,12,High,ISO 25539-2;FDA QMSR,stent loader;crimper;valve crimper,{},OQ verifies diameter repeatability and radial force.
,Guidewire Coiling Machine,Production: Assembly,Precision Mandrel Winder,"{""winding_tension"":{""type"":""number"",""units"":""N""},""pitch_accuracy"":{""type"":""number"",""units"":""mm""},""wire_gauge"":{""type"":""range"",""units"":""AWG""}}",TRUE,TRUE,TRUE,12,6,24,High,ISO 13485;21 CFR 820.70,coil winder;spring maker;guidewire winder,{},PQ verifies coil integrity and flexibility (kink resistance). 
,RF Induction Heater,Production: Assembly,Catheter Tipping & Bonding,"{""rf_output"":{""type"":""number"",""units"":""W""},""heat_time"":{""type"":""number"",""units"":""sec""},""die_temp"":{""type"":""number"",""units"":""C""}}",TRUE,TRUE,TRUE,6,12,12,High,ISO 13485;21 CFR 820.75,RF welder;tip former;induction bonder,{},Critical for atraumatic catheter tip formation.
,Centerless Grinder,Production: Precision Machining,Mandrel/Guidewire Finisher,"{""wheel_speed"":{""type"":""number"",""units"":""RPM""},""coolant_flow"":{""type"":""number"",""units"":""L/min""},""taper_control"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,12,6,,Medium,ISO 13485;21 CFR 820.70,guidewire grinder;mandrel finisher;OD grinder,{},OQ verifies OD tolerance and surface finish (Ra). 
,Bone Saw / Cutter,HCT/P Processing,Precision Allograft Saw,"{""blade_speed"":{""type"":""number"",""units"":""RPM""},""irrigation_flow"":{""type"":""number"",""units"":""mL/min""},""depth_stop"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,12,12,12,High,21 CFR 1271.200;ISO 13485,allograft saw;bone cutter;HCTP saw,{},PQ verifies minimal manipulation and heat prevention in tissue. 
,Tendon Stripper,HCT/P Processing,Mechanical Tissue Preparer,"{""stripping_force"":{""type"":""number"",""units"":""N""},""blade_gap"":{""type"":""number"",""units"":""mm""},""sterile_housing"":{""type"":""boolean""}}",TRUE,TRUE,FALSE,12,12,,High,21 CFR 1271.200;ISO 13485,ligament stripper;HCTP tool;tendon shaver,{},Used for donor ligament preparation. Requires sterile contact check. 
,Heart Valve Dissection Bench,HCT/P Processing,Aseptic Surgical Station,"{""surface_material"":{""type"":""string""},""lighting_intensity"":{""type"":""number"",""units"":""lux""},""ergonomics"":{""type"":""string""}}",TRUE,FALSE,FALSE,,12,,High,21 CFR 1271.190;ISO 14644,valve bench;HCTP dissection;tissue bench,{},IQ verifies sterile surface finish and cleanroom integration. 
